cell,markers
lung endothelial cells,"['VWF', 'MMRN1', 'PECAM1', 'CLEC14A', 'HYAL2', 'EMP1', 'EFNB2', 'RAMP3', 'CALCRL', 'AQP1', 'PCDH17', 'SLCO2A1', 'TFPI', 'PRSS23', 'PTPRB', 'PODXL', 'LRRC32', 'CD59', 'HEG1', 'CDH5', 'ENG', 'ESAM', 'VIPR1', 'JAM2', 'SEMA3A', 'IGFBP3', 'S1PR1', 'TEK', 'F2RL3', 'BMPR2', 'ICAM2', 'PKHD1L1', 'FLT4', 'ITGA5', 'SELP', 'NPR3', 'SLCO4A1', 'NRP2', 'LIPG', 'THBD', 'ITGA10', 'CRIM1', 'CLEC1A', 'ADAM15', 'TIE1', 'MCAM', 'PLAT', 'IL3RA', 'LIFR', 'VCAM1', 'VEGFC', 'VAMP5', 'LEPR', 'TSPAN18', 'PCDH1', 'THSD1', 'DCHS1', 'SEMA6B', 'ITPRIP', 'FAT4', 'EFNB1', 'CD274', 'CD109', 'NPR1', 'FZD4', 'ITGA9', 'UNC5B', 'HTR2B', 'ABI3BP', 'FLT1', 'ELFN1', 'APLNR', 'ECE1', 'EPHB4', 'PDCD1LG2', 'PLXNA2', 'MGAT5B', 'PCDHGB7', 'JAM3', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHA6', 'NTN3', 'TRHR', 'PCDHGC5', 'HTR1D', 'TMEM26', 'TLL1', 'PCDHGC3', 'EPX', 'PCDHA11', 'PCDHGB4', 'PCDHGB1', 'TPTE', 'TMEFF1', 'PCDHGB5', 'UGT1A9', 'CDSN']"
pbmc t-cells,"['KLRB1', 'TRAC', 'GZMH', 'LTB', 'CD3D', 'KLRG1', 'TRBC1', 'CD3G', 'CCR7', 'CD2', 'CD27', 'CLEC2D', 'IL7R', 'FCRL6', 'CD6', 'S1PR4', 'CD5', 'CD28', 'TNFRSF25', 'CD40LG', 'NCR3', 'CD244', 'SIRPG', 'KLRC1', 'IL2RA', 'S1PR5', 'SLAMF6', 'GP5', 'GPR155', 'EPX', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'CDSN', 'FLG2', 'UGT1A9', 'CCR4', 'TLR9', 'C4A', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'DBH', 'ARSF', 'PCDHGB5', 'INHBE', 'TMEM132E', 'ITGAL', 'CACNG6', 'PCDH20', 'PCDHGA9', 'NTSR1', 'SLITRK3', 'AMIGO1', 'PTPRQ', 'SLC26A5', 'IGSF1', 'CEACAM8', 'FLRT1', 'EPHA1', 'ZP4', 'PCDHGA8', 'KIR2DL3', 'CPZ', 'PLA2G3', 'PLXNB3', 'PCDHA10', 'SIGLEC12', 'TLL2', 'CELSR3', 'ELFN2', 'UNC5A', 'IL5RA', 'SCNN1D', 'ULBP3', 'SCN2B', 'PCDHGA12', 'COL2A1', 'MGAT5B', 'TMEM26', 'TSHR', 'AGTR2', 'KIR3DL1', 'LRRC15', 'ALPP', 'TMPRSS5', 'IGLON5', 'NTRK1', 'CDH15']"
lymph node mixed cell types,"['IGHG1', 'PLVAP', 'APLNR', 'TNFRSF17', 'C4A', 'EPX', 'PCDHGA9', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHGB1', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TNFSF18', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'CDSN', 'FLG2', 'UGT1A9', 'PLXNB3', 'SLC6A2', 'PCDHGB5', 'TLR9', 'SLC45A2', 'ARSF', 'NTSR1', 'DBH', 'INHBE', 'SIGLEC12', 'CACNG6', 'MAN2B1', 'SLC26A5', 'PCDH20', 'ICAM5', 'SLITRK3', 'GP5', 'PCDHA10', 'PTPRQ', 'TMEM132E', 'ELFN1', 'CEACAM8', 'PCDHGA12', 'FLRT1', 'ZP4', 'CPZ', 'PLA2G3', 'TLL2', 'KIR3DL1', 'IGSF1', 'PCDHGA8', 'LRRC15', 'PCDHGB7', 'UNC5A', 'ALPP', 'ELFN2', 'SCN2B', 'COL2A1', 'KIR2DL3', 'IGLON5', 'TMEM26', 'CELSR3', 'AGTR2', 'TMPRSS5', 'MGAT5B', 'PRG2', 'CDH15', 'NTRK1', 'ADORA1', 'CD80', 'TMEM63C', 'SCNN1D', 'TYR', 'IL1RL2', 'TNFRSF8', 'PCDHGC3', 'ULBP3', 'CRLF2', 'VSTM1', 'EFNB3', 'SLC6A11', 'SLC22A16', 'CHRNA3', 'PDCD1LG2', 'ATG9A', 'TSHR', 'HTR2B', 'LRFN1', 'CD101', 'GPR39', 'THSD1', 'CD1B', 'IL3RA', 'KCNK17', 'ADAMTS15']"
small intestine intestinal goblet cells,"['HEPACAM2', 'GALNT5', 'SLC12A2', 'TSPAN1', 'PTPRF', 'EPHB2', 'CANT1', 'MST1R', 'FGFR2', 'FAM174B', 'MIA3', 'SLC22A23', 'CGN', 'CEACAM6', 'LAMA1', 'VIPR1', 'SLC26A6', 'SLC2A13', 'ANO9', 'TLL2', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'GP5', 'SLC45A2', 'CDSN', 'FLG2', 'HTR1D', 'UGT1A9', 'TLR9', 'C4A', 'TNFSF18', 'SLC6A2', 'ARSF', 'NTSR1', 'DBH', 'PCDHGB5', 'INHBE', 'CACNG6', 'SIGLEC12', 'PCDHGA9', 'PCDH20', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'CEACAM8', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'CELSR3', 'DISP2', 'PCDHA10', 'KIR3DL1', 'PCDHGA8', 'IGSF1', 'ELFN2', 'UNC5A', 'COL2A1', 'ALPP', 'KIR2DL3', 'SCN2B', 'PCDHGA12', 'TMEM26', 'AGTR2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'IGLON5', 'ELFN1', 'PCDHGB7', 'NTRK1', 'ATG9A', 'TYR', 'IL1RL2', 'SIDT2', 'CDH15', 'CRLF2', 'ICAM5', 'VSTM1', 'ADORA1', 'ULBP3', 'EFNB3', 'CDH17', 'TNFRSF8', 'SLC6A11', 'CRB2']"
eye horizontal cells,"['SV2A', 'GRIA2', 'NFASC', 'IGLON5', 'SLC29A4', 'SLC12A7', 'CACNA2D2', 'BCAN', 'ACHE', 'DNER', 'SCN2B', 'GFRA2', 'GABRA2', 'DISP2', 'FAT3', 'RET', 'SLC6A9', 'PTPRS', 'COL2A1', 'LRRC4B', 'UNC5A', 'SCN2A', 'MDGA1', 'MEGF8', 'SLC6A15', 'L1CAM', 'PCDH19', 'CELSR2', 'TMEM132E', 'CELSR3', 'NTRK1', 'CNTNAP1', 'SLC6A11', 'ADAM22', 'TRHR', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHA6', 'PCDHGC5', 'NTN3', 'TMEFF1', 'PCDHA11', 'EPX', 'TPTE', 'UNC5B', 'MGAT5B', 'HTR1D', 'GP5', 'SEMA4G', 'CDSN', 'FLRT1', 'SLC6A2', 'SCNN1D', 'PCDHGB1', 'UGT1A9', 'PLXNA2', 'TMEM63C', 'TLR9', 'PCDHGA9', 'C4A', 'FLG2', 'DBH', 'EFNB3', 'PCBP3', 'PCDHGB4', 'ARSF', 'SLC45A2', 'TNFSF18', 'SIGLEC12', 'CACNG6', 'INHBE', 'PCDH20', 'CEACAM8', 'PCDHA10', 'PCDHGB5', 'PCDHGA8', 'SLC26A5', 'ZP4', 'PTPRQ', 'CPZ', 'ELFN2', 'PLA2G3', 'PLXNB3', 'KIR3DL1', 'AMIGO1', 'ICAM5', 'ALPP', 'AGTR2', 'KIR2DL3', 'PCDHGA12', 'SLITRK3', 'TMEM26', 'LRRC15', 'TMPRSS5', 'TLL2', 'PCDHGB7', 'LRFN1', 'NTSR1']"
rectum paneth cells,"['EPCAM', 'TSPAN8', 'HEPACAM2', 'CDH17', 'CEACAM6', 'VIPR1', 'HSD17B2', 'SEMA4G', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'UGT1A9', 'PCDHGB1', 'GP5', 'CDSN', 'HTR1D', 'ADRA2A', 'FLG2', 'C4A', 'TNFSF18', 'TLR9', 'SLC45A2', 'SLC6A2', 'ARSF', 'NTSR1', 'PCDHGB5', 'CEACAM8', 'SIGLEC12', 'INHBE', 'DBH', 'PCDHGA9', 'CACNG6', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'SMPDL3B', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDH20', 'PCDHA10', 'KIR3DL1', 'IGSF1', 'ALPP', 'PCDHGA8', 'ELFN2', 'UNC5A', 'KIR2DL3', 'SCN2B', 'PCDHGA12', 'TMEM26', 'AGTR2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'TLL2', 'IGLON5', 'PCDHGB7', 'NTRK1', 'CDH15', 'CELSR3', 'TYR', 'ELFN1', 'ICAM5', 'CRLF2', 'SCNN1D', 'VSTM1', 'ULBP3', 'ADORA1', 'TMEM63C', 'IL1RL2', 'SLC6A11', 'GPR39', 'SLC22A16', 'TNFRSF8', 'PRG2', 'LRFN1', 'ATG9A', 'CD1B', 'ADAMTS15', 'KCNK17', 'EFNB3', 'CCR4', 'HTR2B', 'TSHR', 'HEPACAM', 'TNFRSF11A']"
liver b-cells,"['CD37', 'CD79A', 'MS4A1', 'CD79B', 'LTB', 'CD22', 'FCER2', 'CD19', 'FCRL2', 'CD72', 'CD180', 'CXCR5', 'CNR2', 'BTLA', 'FCRL3', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5', 'PCDHGB1', 'TLR9', 'CDSN', 'SLC6A2', 'FLG2', 'TNFSF18', 'SLC45A2', 'PCDHGB5', 'ARSF', 'HTR1D', 'CACNG6', 'SDK2', 'PCDHGA9', 'PCDH20', 'UGT1A9', 'CEACAM8', 'FLRT1', 'PTPRQ', 'ZP4', 'SIGLEC12', 'CPZ', 'NTSR1', 'PLXNB3', 'PLA2G3', 'SLITRK3', 'PCDHA10', 'UNC5A', 'ALPP', 'ELFN2', 'TMEM132E', 'DBH', 'SCN2B', 'PCDHGA8', 'COL2A1', 'AGTR2', 'PCDHGA12', 'IGSF1', 'LRRC15', 'C4A', 'TLL2', 'TMPRSS5', 'CELSR3', 'MGAT5B', 'IGLON5', 'SLC26A5', 'NTRK1', 'TYR', 'TMEM63C', 'PCDHGB7', 'CRLF2', 'KIR3DL1', 'CDH15', 'ICAM5', 'S1PR4', 'SLC6A11', 'VSTM1', 'EFNB3', 'ATG9A', 'IL1RL2', 'TMEM156', 'NXPH4', 'CD1B', 'PRG2', 'ADORA1', 'KCNK17', 'TNFRSF8', 'KIR2DL3', 'CHRNA3', 'LRFN1', 'GPR39', 'CCR4']"
rectum mixed immune cells,"['IGHG4', 'IGHG1', 'IGHM', 'IGHG2', 'CD79A', 'CD79B', 'MS4A1', 'CD19', 'CD22', 'S1PR2', 'CD27', 'TNFRSF17', 'HLA-DQB2', 'CXCR5', 'FCRL2', 'CD72', 'CR2', 'CD180', 'TMEM156', 'FCRL3', 'SIGLEC5', 'CD80', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TLR9', 'TPTE', 'VNN2', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'GP5', 'HTR1D', 'FLG2', 'NMUR1', 'CDSN', 'UGT1A9', 'C4A', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'ARSF', 'NTSR1', 'PCDHGB5', 'SIGLEC12', 'INHBE', 'DBH', 'PCDHGA9', 'CACNG6', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'MICB', 'FLRT1', 'ZP4', 'SLC26A5', 'CEACAM8', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDH20', 'PCDHA10', 'KIR3DL1', 'IGSF1', 'TNFRSF8', 'ELFN2', 'UNC5A', 'ALPP', 'PCDHGA8', 'KIR2DL3', 'SCN2B', 'PCDHGA12', 'TMEM26', 'AGTR2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'ULBP3', 'ELFN1', 'SCNN1D', 'TLL2', 'IGLON5', 'PCDHGB7', 'NTRK1', 'CDH15', 'CNR2', 'CELSR3', 'TYR', 'CD160', 'ICAM5', 'CRLF2', 'VSTM1', 'TSHR', 'ADORA1']"
skin macrophages,"['F13A1', 'LGMN', 'FGL2', 'STAB1', 'CTSC', 'ABCA1', 'TTYH3', 'SIGLEC1', 'MSR1', 'MRC1', 'FCGR2A', 'ITGAM', 'GFRA2', 'CD274', 'TNFSF18', 'EMB', 'SUCNR1', 'CD4', 'ITGAX', 'HTR2B', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PDCD1LG2', 'HTR1D', 'GP5', 'NTSR1', 'UGT1A9', 'PCDHGB1', 'SIGLEC12', 'TLR9', 'C4A', 'SLC6A2', 'ARSF', 'CDSN', 'PCDHGB5', 'INHBE', 'CACNG6', 'DBH', 'PCDH20', 'PCDHGA9', 'PTPRQ', 'CEACAM8', 'ZP4', 'FLRT1', 'SLITRK3', 'TMEM132E', 'SLC26A5', 'PLXNB3', 'KIR3DL1', 'CPZ', 'TMEM26', 'ALPP', 'ELFN2', 'PCDHA10', 'UNC5A', 'KIR2DL3', 'AGTR2', 'PCDHGA12', 'CELSR3', 'FLG2', 'IGSF1', 'PCDHGA8', 'COL2A1', 'MGAT5B', 'SLC45A2', 'IGLON5', 'TMPRSS5', 'PLA2G3', 'SCN2B', 'TMEM63C', 'TLL2', 'CDH15', 'NTRK1', 'VSTM1', 'PCDHGB7', 'SCNN1D', 'ATG9A', 'ICAM5', 'IL1RL2', 'LRFN1', 'TNFRSF8', 'SLC12A5', 'ULBP3', 'GPR132', 'ADORA1', 'GPR39', 'KCNK17', 'CRLF2', 'ELFN1']"
stomach t-cells,"['CD7', 'IL7R', 'CD3D', 'CD69', 'CD96', 'CD3G', 'TRBV12-3', 'KLRB1', 'PRF1', 'CD2', 'TMIGD2', 'KLRC1', 'SIRPG', 'CD6', 'ITGAE', 'TRBC1', 'CD160', 'CD28', 'GZMH', 'PDCD1', 'CD40LG', 'CD5', 'CXCR3', 'TIGIT', 'GPR174', 'IL2RB', 'CCR4', 'TNFRSF9', 'ENTPD1', 'GPR65', 'CD244', 'CD226', 'NCR3', 'CD101', 'SLAMF1', 'PTGER2', 'KIR2DS4', 'NTSR1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'KIR2DL3', 'TPTE', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'TMEFF1', 'FLG2', 'UGT1A9', 'GP5', 'DBH', 'CDSN', 'SLC45A2', 'SLC6A2', 'ARSF', 'INHBE', 'TNFSF18', 'C4A', 'SIGLEC12', 'NMUR1', 'PCDH20', 'CACNG6', 'PCDHGB5', 'PCDHGA9', 'TMEM132E', 'CD200R1', 'KIR3DL1', 'CEACAM8', 'PTPRQ', 'KCNA3', 'FLRT1', 'CELSR3', 'PLXNB3', 'ZP4', 'SLITRK3', 'TNFRSF25', 'PLA2G3', 'PCDHA10', 'IGSF1', 'PCDHGA8', 'ELFN2', 'UNC5A', 'TLR9', 'ALPP', 'LRFN1', 'SLC26A5', 'NTRK1', 'TMPRSS5', 'SCN2B', 'ULBP3', 'COL2A1', 'TMEM26', 'AGTR2']"
